period,partner_reported_imports,reporting_partners,drc_reported_exports,mirror_trade_gap,gap_ratio,is_2023_shock
2014,48868539.562,3,0.0,48868539.562,1.0,0
2015,45031224.986999996,6,179964.236,44851260.750999995,0.996003567834276,0
2016,40862982.5,4,21367.297,40841615.203,0.9994770989366721,0
2017,58560676.480000004,6,0.0,58560676.480000004,1.0,0
2018,78987472.02700001,8,89411215.724,-10423743.696999997,-0.13196705033725964,0
2019,52616628.495000005,6,67908210.698,-15291582.202999994,-0.29062261570889336,0
2020,19707854.128,2,3959114.239,15748739.888999999,0.79910982630143,0
2021,12176555.534,4,2325365.117,9851190.417,0.8090293178143033,0
2022,7131224.551,3,2663727.133,4467497.418,0.6264698841061638,0
2023,217669377.72300002,7,1327514937.096,-1109845559.373,-5.098767548209553,1
2024,187244.293,2,0.0,187244.293,1.0,0
2025,27627.951,2,0.0,27627.951,1.0,0
