period,country,partner_import_value,quantity_kg
2014,Belgium,16927968.686,0
2014,USA,36654.0,0
2014,United Arab Emirates,31903916.876,0
2015,Belgium,4286511.269,0
2015,China,730143.0,0
2015,Germany,24954.22,0
2015,Japan,117101.0,0
2015,Switzerland,56947.11,0
2015,United Arab Emirates,39815568.388,0
2016,Belgium,3521823.635,0
2016,China,16828208.0,0
2016,Rep. of Korea,76833.0,0
2016,United Arab Emirates,20436117.865,0
2017,Canada,49861.251,0
2017,China,30959650.0,0
2017,Italy,13895.076,0
2017,Rep. of Korea,17412.0,0
2017,Türkiye,73622.0,0
2017,United Arab Emirates,27446236.153,0
2018,Canada,106609.601,0
2018,China,42934496.0,0
2018,Germany,2539.46,0
2018,Italy,114964.691,0
2018,Japan,11132.398,0
2018,Türkiye,54280.0,0
2018,Uganda,27288558.25,0
2018,United Arab Emirates,8474891.627,0
2019,Belgium,545613.465,0
2019,Canada,17755.591,0
2019,China,42516214.0,0
2019,Japan,7036.512,0
2019,USA,251325.0,0
2019,United Arab Emirates,9278683.927,0
2020,China,2448641.0,0
2020,United Arab Emirates,17259213.128,0
2021,Germany,28734.847,0
2021,Japan,59842.69,0
2021,South Africa,3.113,0
2021,United Arab Emirates,12087974.884,0
2022,Italy,58465.26,0
2022,Uganda,4145837.93,0
2022,United Arab Emirates,2926921.361,0
2023,Belgium,21540.834,0
2023,Botswana,3707556.506,0
2023,Germany,69411.013,0
2023,Italy,123951.228,0
2023,Türkiye,1999541.0,0
2023,Uganda,3498915.87,0
2023,United Arab Emirates,208248461.272,0
2024,Belgium,57074.293,0
2024,China,130170.0,0
2025,Belgium,11185.951,0
2025,Rep. of Korea,16442.0,0
